EER;weights;layer
0.13688999414444;MTL joint C12;8
0.224875003099442;MTL joint C12;3
0.112839996814728;MTL joint C12;6
0.325794994831085;MTL joint C12;1
0.149350002408028;MTL joint C12;9
0.118184998631477;MTL joint C12;5
0.112980000674725;MTL joint C12;11
0.280865013599396;MTL joint C12;2
0.123080000281334;MTL joint C12;7
0.357710003852844;MTL joint C12;0
0.153494998812675;MTL joint C12;4
0.131290003657341;MTL joint C12;10
0.251379996538162;MTL dj 2s C12;3
0.161744996905327;MTL dj 2s C12;6
0.327764987945557;MTL dj 2s C12;1
0.298799991607666;MTL dj 2s C12;2
0.169324994087219;MTL dj 2s C12;5
0.265305012464523;MTL dj 2s C12;11
0.201364994049072;MTL dj 2s C12;4
0.197455003857613;MTL dj 2s C12;9
0.189980000257492;MTL dj 2s C12;8
0.178605005145073;MTL dj 2s C12;7
0.215700000524521;MTL dj 2s C12;10
0.359320014715195;MTL dj 2s C12;0
0.0915149971842766;MTL dj 10s C12;8
0.268790006637573;MTL dj 10s C12;2
0.145514994859695;MTL dj 10s C12;4
0.358364999294281;MTL dj 10s C12;0
0.0935499966144562;MTL dj 10s C12;6
0.318765014410019;MTL dj 10s C12;1
0.0922499969601631;MTL dj 10s C12;7
0.205880001187325;MTL dj 10s C12;3
0.0743149966001511;MTL dj 10s C12;9
0.11497999727726;MTL dj 10s C12;5
0.0452900007367134;MTL dj 10s C12;11
0.0509250015020371;MTL dj 10s C12;10
0.365045011043549;STL C12;0
0.340205013751984;STL C12;1
0.31394499540329;STL C12;2
0.254714995622635;STL C12;3
0.174244999885559;STL C12;4
0.125770002603531;STL C12;5
0.0992449969053268;STL C12;6
0.0942099988460541;STL C12;7
0.0898500010371208;STL C12;8
0.0722149983048439;STL C12;9
0.0577949993312359;STL C12;10
0.0564850009977818;STL C12;11
0.383204996585846;pre-trained;0
0.383585005998611;pre-trained;1
0.37720999121666;pre-trained;2
0.374960005283356;pre-trained;3
0.372209995985031;pre-trained;4
0.365985006093979;pre-trained;5
0.360495001077652;pre-trained;6
0.357389986515045;pre-trained;7
0.35139000415802;pre-trained;8
0.342370003461838;pre-trained;9
0.388309985399246;pre-trained;10
0.465220004320145;pre-trained;11
0.374444991350174;MTL dj 2s C6;11
0.33228000998497;MTL dj 2s C6;10
0.307384997606277;MTL dj 2s C6;9
0.290049999952316;MTL dj 2s C6;8
0.249274998903275;MTL dj 2s C6;7
0.186849996447563;MTL dj 2s C6;6
0.146549999713898;MTL dj 2s C6;5
0.225740000605583;MTL dj 2s C6;4
0.308169990777969;MTL dj 2s C6;3
0.338550001382828;MTL dj 2s C6;2
0.349279999732971;MTL dj 2s C6;1
0.358864992856979;MTL dj 2s C6;0
0.351779997348785;MTL dj 10s C6;11
0.309475004673004;MTL dj 10s C6;10
0.243870005011559;MTL dj 10s C6;9
0.157940000295639;MTL dj 10s C6;8
0.108319997787476;MTL dj 10s C6;7
0.0688600018620491;MTL dj 10s C6;6
0.0486649982631207;MTL dj 10s C6;5
0.0638850033283234;MTL dj 10s C6;4
0.146559998393059;MTL dj 10s C6;3
0.251974999904633;MTL dj 10s C6;2
0.311870008707047;MTL dj 10s C6;1
0.356460005044937;MTL dj 10s C6;0

